repo	module_dir	reason
dchwebb/Addatone	Hardware/bu	backup copy of the main board (bu = backup), covered by row p03
ltrooney/diy-synth	blank_panel_10hp/panel_board	blank panel - blind panels are out of scope
ltrooney/diy-synth	midi-to-cv-converter/circuit_board_v1	earlier revision; noted as alt. version on the v2 row (p68)
wntrblm/Castor_and_Pollux	hardware/expander-faceplate	faceplate (panel) - no row
wntrblm/Castor_and_Pollux	hardware/faceplate-1	faceplate (panel) - no row
wntrblm/Castor_and_Pollux	hardware/faceplate-2	faceplate (panel) - no row
wntrblm/Castor_and_Pollux	hardware/hubble-lens	LED lens (mechanical) - no row
wntrblm/Castor_and_Pollux	hardware/interposer	interposer board of the main module (p11) - no row of its own
BruteClaw/Analog-Synth	Face_Plates	panels only - no row
BruteClaw/Analog-Synth	Through Hole Designs/Patch_Bay	same passive patch bay as the SMD folder; one row covers both (p94)
spielhuus/elektrophon	.	repo root: shared lib/ (KiCad libraries, libDaisy, DaisySP) and site assets, not a module
SonicPotions/Penrose	.	firmware only - no schematic, layout or BOM in repo (Sonic Potions Penrose)
lonesoulsurfer/Delay_Modular_Synth	Front Panel Design/Kicad - Ekoplasm Arduino 2/Ekoplasm	front panel design folder (Front Panel Design/...) of the lonesoulsurfer Delay synth - not a module board
triglav-modular/Voltage_Processor	.	repo unreachable on GitHub (404 at the pinned SHA and via the API, 2026-09-26) - no row can link to it
4ms/QPLFO-v22	.	repo root: firmware + schematic PDF; the board is the 'hardware/kicad v5' row
4ms/QPLFO-v22	hardware/kicad v4	same QPLFO v2.2 board in the older KiCad v4 format - covered by 'hardware/kicad v5'
4ms/STS	hardware/Kicad-6-project	KiCad 6 schematics only (no board) - covered by the repo-root STS row
4ms/SWN	.	repo root = firmware + schematic PDF; the board is the 'hardware/Kicad project/SWN v1.1' row
4ms/pcb-RCD-SCM-clocker	pcb-v1.0.4-kit/gEDA	older gEDA kit board (v1.0.4) - superseded by pcb-v1.2 (RCD / SCM rows)
Allen-Synthesis/EuroPi	.	repo root = firmware and docs; hardware rows are hardware/through-hole and hardware/surface-mount
Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C-Frontpanel	front panel PCB of Powerline-USB-C - covered by that row
BelaPlatform/gliss-hardware	gliss_faceplate	Gliss faceplate PCB - covered by the gliss_main row
BelaPlatform/gliss-hardware	gliss_led	Gliss LED sub-board (SMD, 27 parts) - part of the gliss_main row
DIYSynthMNL/Eurorack-2164-Quad-Exponential-VCA	Schematic PDFs	schematic PDF folder - covered by the repo-root 2164 Quad VCA row
DIYSynthMNL/Eurorack-Electric-Druid-VCDO1	Schematic PDFs	schematic PDF folder - covered by the repo-root VCDO1 row
JMHanson4/Miasma_1.03_Revised	Miasma_IO_smd	IO sub-board - pooled into the Miasma row (module_dir '.')
JMHanson4/Miasma_1.03_Revised	Miasma_IO_smd/BOM and CPL	BOM/CPL of the IO sub-board - covered by the Miasma row
JMHanson4/Miasma_1.03_Revised	Miasma_Main_smd/BOM and CPL	BOM/CPL of the Main sub-board - covered by the Miasma row
JMHanson4/Miasma_1.03_Revised	Miasma_Panel	panel PCB - covered by the Miasma row
M4ngu/FranKinksTides	first_version 	first version - superseded by last_version_v1.4
M4ngu/FranKinksTides	second_version_v1.2	v1.2 - superseded by last_version_v1.4
M4ngu/FranKinksTides	second_version_v1.2/FanKinksTides_12	v1.2 gerbers - superseded by last_version_v1.4
JMHanson4/Miasma_1.03_Revised	Miasma_Main_smd	Main sub-board - pooled into the Miasma row (module_dir '.')
Pl0p/Modular_Synth	OLD/Drum-K	OLD kick version - superseded by Drum-K_MKII
PoloAudiovisual/Quatro	Quatro_rev1.0	rev1.0 - superseded by Quatro_rev1.1
Quinienl/LittleBen	Back	back-board gerber zip - part of the LittleBen row
Quinienl/LittleBen	Panelv2	panel gerbers - part of the LittleBen row
Shayshez/EuroScope	Legacy	Legacy (MK1) conversion kit - superseded by EuroScope MKII
StudioKAT/DualTimbre	v1.0	v1.0 - superseded by v1.1
StudioKAT/R2R-DAC	v1.0	v1.0 - superseded by v2.0
StudioKAT/Toolbox	v1.0	v1.0 - superseded by v2.1
TomWhitwell/TuringMachine	Collateral/Older Versions	older Turing Machine versions - superseded by the Mk 2 row
TomWhitwell/TuringMachine	Collateral/PDF Schematics	schematic PDF folder - linked from the Turing Machine Mk 2 row
VoltageFoundryMod/IRONMix	.	repo root pools V1 boards and panel - the module row is V1
VoltageFoundryMod/IRONMix	V1/jlcpcb	JLCPCB fabrication outputs of V1 - covered by the IRONMix row
attowatt/i2c2midi	hardware/hardware-MK1	MK1 hardware - superseded by hardware-MK2
bartinstruments/open-source	DUAL SSI2130 VCO CORE	VCO core submodule - a building block for larger designs, not a eurorack module (README)
bastl-instruments/kastle2	.	Kastle 2 is a pocket synth, not eurorack - its eurorack version is Citadel (own row)
bastl-instruments/kastle2	case/top-panel	Kastle 2 case panel
benjiaomodular/MiniSNH	MiniSNH v1.0	v1.0 - superseded by MiniSNH v1.1
benjiaomodular/MiniSNH	MiniSNH v1.0/Inkscape Panel	v1.0 Inkscape panel - superseded
bmoren/Stereo-Output-2hp	PSO_panel_rev1	panel PCB rev1 - part of the passive_stereo_output_rev1 row
bmoren/Stereo-Output-2hp	PSO_panel_rev1/gerbs	panel gerbers - part of the passive_stereo_output_rev1 row
bmoren/Stereo-Output-2hp	PSO_panel_rev2	panel PCB rev2 - part of the passive_stereo_output_rev1 row
bmoren/Stereo-Output-2hp	passive_stereo_output_rev1/gerbs	gerbers of passive_stereo_output_rev1 - covered by that row
bmoren/two-tone	rev1_PCB/tow_tone_rev1_gerbs	gerbers of rev1_PCB - covered by the two tone row
bmoren/two-tone	rev2_panel_PCB/gerbs	rev2 panel gerbers - part of the two tone row
bmoren/two-tone	rev2_panel_PCB/twotone_rev2_panel	rev2 panel PCB - part of the two tone row
ctag-fh-kiel/ctag-tbd	hw/frontplate	front plate design files (Inkscape) - part of the CTAG TBD row
dchwebb/DisPhaze	Hardware/bu	backup copy of the board (bu = backup) - covered by the Hardware_v3.5 row
dchwebb/DisPhaze	Hardware_v3	v3 - superseded by Hardware_v3.5
dchwebb/Kishoof	.	repo root = firmware + docs; the module row is Hardware/Combined_Controls_Components
dchwebb/Kishoof	Hardware/Kishoof_Controls	controls board on its own - the combined controls + components board is the Kishoof row
dchwebb/Kishoof	Hardware/Kishoof_Panel	panel project (no board file)
dchwebb/Kishoof	bu/Proto_Hardware	prototype hardware backup (bu/) - superseded
dchwebb/Oscar	.	repo root = firmware + docs; the module row is Hardware_v3
dchwebb/Oscar	Hardware_v3/jlcpcb	JLCPCB fabrication outputs of Hardware_v3 - covered by the Oscar row
dchwebb/Oscar	Old/Hardware_v1	old v1 hardware - superseded by Hardware_v3
dchwebb/Oscar	Old/Hardware_v2	old v2 hardware - superseded by Hardware_v3
dchwebb/Punck	.	repo root = firmware + docs; the module row is Hardware_v1_1
dchwebb/DisPhaze	.	repo root pools every hardware revision - the module row is Hardware_v3.5
dchwebb/Retrospector	Hardware/bu	backup copy of the board (bu) - covered by the Retrospector row
dchwebb/Spectralist	Hardware/Spectralist_Components	components board - pooled in the repo-root Spectralist row
dchwebb/Spectralist	Hardware/Spectralist_LEDs	LED board project (no board file) - part of the Spectralist row
dchwebb/Spectralist	Hardware/jlcpcb	JLCPCB BOM/CPL - covered by the Spectralist row
emeb/Cheep4	Hardware/cheep4_panel	panel PCB - part of the Cheep4 row
emeb/S3GTA	Hardware/s3gta_panel	panel/front board - pooled into the S3GTA row
emeb/g081_audio	.	repo root = firmware; the module row is Hardware/g081_audio
