repo	module_scope	components	comp_basis	comp_conf	detector_version
4ms/pcb-RCD-SCM-clocker	pcb-v1.2	SMD	kicad footprints (files=1: clocker-12b.kicad_pcb): smd=43 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=4	Strong	19
4ms/QPLFO-v22	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/QPLFO-v22	hardware/kicad v4	SMD	kicad footprints (files=1: qplfo_v22.kicad_pcb): smd=150 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=10	Strong	19
4ms/QPLFO-v22	hardware/kicad v5	SMD	kicad footprints (files=1: qplfo_v22.kicad_pcb): smd=150 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=10	Strong	19
4ms/STS	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/STS	hardware/Kicad-6-project		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/SWN	.		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
4ms/SWN	hardware/Kicad project/SWN v1.1	SMD	kicad footprints (files=1: SWN.kicad_pcb): smd=510 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=24	Strong	19
Allen-Synthesis/EuroPi	.		1 .kicad_pcb fetched but held no footprints (LFS stub or empty board?): europi-panel.kicad_pcb (182111 bytes)	Deferred	19
Allen-Synthesis/EuroPi	hardware/surface-mount	SMD	kicad footprints (files=1: europi-surface-mount.kicad_pcb): smd=68 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=3	Strong	19
Allen-Synthesis/EuroPi	hardware/through-hole		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C	SMD	kicad footprints (files=1: Powerline-USB-C.kicad_pcb): smd=11 tht_passive=0 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C-Frontpanel		no .kicad_pcb, EasyEDA JSON, Eagle .brd or machine-readable BOM in scope	Deferred	19
attowatt/i2c2midi	hardware/hardware-MK1	THT	eagle packages (files=2: i2c2midi_board.brd, i2c2midi_panel.brd): smd=0 tht_passive=9 tht_to=1 tht_ic=1 (panel excluded) smd_ic=0	Strong	19
attowatt/i2c2midi	hardware/hardware-MK2	both	eagle packages (files=4: board-A.brd, board-B.brd, board.brd, panel.brd): smd=2 tht_passive=24 tht_to=0 tht_ic=0 (panel excluded) smd_ic=0	Strong	19
